13:38:01;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.74
13:38:31;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.74
13:39:01;Tu=75.19;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.74
13:39:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.73
13:40:02;Tu=75.19;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.72
13:40:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.73
13:41:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:41:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:42:01;Tu=75.13;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.72
13:42:31;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:43:02;Tu=75.19;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.72
13:43:31;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:44:01;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:44:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.73
13:45:02;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.73
13:45:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:46:01;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:46:31;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.72
13:47:02;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:47:32;Tu=75.19;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:48:02;Tu=75.19;Tm=76.81;Td=77.38;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.71
